parent_message_ts,num_replies,time_length,ts
2022-06-28 16:33:01.290328979,3,2.937940127783611,1
2022-06-29 10:09:13.184149027,10,100.60284094168084,1
2022-06-30 00:56:51.026209116,8,12.50718702495111,1
2022-07-06 22:59:32.668278933,43,27.221500441696666,2
2022-07-18 15:11:32.612978935,18,335.33322026669975,1
2022-07-26 01:55:58.115859032,8,16.057307241625278,1
2022-08-02 14:05:47.311079025,4,36.85283918056222,1
2022-08-02 14:11:07.384679079,11,144.6824339944125,2
2022-08-05 13:15:39.599379063,2,0.09680127773,1
2022-08-22 08:21:37.435599089,3,3.7890977221727775,1
2022-08-31 09:09:36.066739082,6,133.20777959161333,1
2022-09-11 10:38:37.459538937,28,45.711693427827505,1
2022-09-12 17:40:26.345098972,7,0.3344274528161111,2
2022-09-13 16:56:22.862668991,12,69.8664683722125,1
2022-09-15 20:52:58.723329067,3,5.511399897204444,1
2022-09-18 10:23:54.418159008,10,44.99160824722722,2
2022-09-19 15:18:57.963689089,7,4.873713691631945,1
2022-09-22 19:29:28.343818903,9,433.19017626669665,2
2022-10-19 22:43:44.701808929,3,15.861332763897222,1
2022-11-01 21:24:21.846079111,5,39.26973063608,1
2022-11-14 14:40:11.261898994,20,72.27089577780833,1
2022-11-17 15:00:10.961828947,24,5.931279566685278,1
2022-11-22 14:51:04.320118904,19,58.49900241394834,1
2022-12-12 14:22:46.528568983,7,4.7770765999952784,1
2023-01-29 07:53:50.178929090,6,29.513485358291387,1
2023-05-21 07:54:38.975538969,13,55.79470686389333,1
2023-05-24 14:31:45.777399063,14,3.5881807610725,1
2023-06-01 07:31:33.920258999,19,127.95269465002751,1
2023-06-25 11:58:03.582648993,13,4.505969511138056,2
2023-06-27 16:11:15.544688940,1,0.0,1
2023-06-30 05:58:24.950459003,33,570.3416309110986,1
2023-07-02 10:24:46.647938967,4,6.78422941943,1
2023-07-11 12:54:02.305938959,6,15.2839949166775,1
2023-07-16 14:21:03.733669043,11,38.44958917220416,2
2023-07-20 08:39:08.669298887,20,102.01806582225696,1
2023-07-24 07:05:55.228049040,28,104.20387755274777,2
2023-07-27 14:03:01.262428999,3,31.671132050024166,1
2023-07-28 04:44:31.583858967,44,149.847845669455,1
2023-07-31 08:40:36.089939117,21,79.49780066384223,2
2023-08-02 06:18:12.107309103,6,6.1531914916302775,1
2023-08-03 14:03:11.649369001,9,97.19528368890305,2
2023-08-03 17:16:43.052198887,10,64.57567195561195,1
2023-08-10 13:44:30.908169031,53,310.58099505278807,1
2023-08-16 13:44:17.663849115,3,2.2929397860502774,2
2023-08-18 13:24:39.952949047,10,602.6383601999944,1
2023-08-23 13:58:54.715858936,7,18.122536402808333,1
2023-08-30 05:34:39.143218994,13,211.49413132501974,2
2023-09-03 06:10:44.224448919,4,55.99499565833167,1
2023-09-07 16:03:22.061969042,15,458.82163770278277,1
2023-09-11 18:28:08.718478918,4,2.3871587361230553,1
2023-09-13 13:18:47.447829008,5,54.27467605835861,1
2023-09-14 19:02:04.358369112,12,115.51830253051389,1
2023-09-15 02:40:07.879079103,5,8.046887163851112,1
2023-09-18 16:19:02.714719057,17,70.11485079162667,1
2023-09-25 20:55:11.981468916,20,182.60246589170555,1
2023-09-27 09:35:14.569608927,18,268.1728334666622,3
2023-10-03 12:02:04.666718960,11,306.688599613905,1
2023-10-05 00:27:30.087178946,6,13.487097633348332,1
2023-10-05 13:24:16.602709055,24,174.74037304162974,1
2023-10-12 16:42:30.267539024,1,0.0,1
2023-10-13 16:38:08.606609106,18,43.1537358749575,1
2023-10-15 13:22:02.121879101,24,218.27890938884667,3
2023-10-17 14:08:39.791508913,3,19.497961913943335,1
2023-10-17 19:46:48.523529052,2,10.888274177776667,1
2023-10-25 14:20:17.447418928,3,7.789633952776667,1
2023-10-29 09:55:08.591018915,1,0.0,1
2023-10-29 10:00:26.416949034,7,6.3895147305725,2
2023-10-29 11:28:40.679239035,21,212.60124152779582,2
2023-10-30 04:04:52.910499096,16,204.74611949443803,1
2023-10-30 19:22:12.232669115,20,615.14858661943,2
2023-10-30 21:42:41.811659098,17,22.530293875005555,1
2023-10-31 13:09:52.586118937,18,37.285217197272495,1
2023-11-01 22:47:50.502839088,7,17.623878552781388,1
2023-11-07 15:59:51.033209085,13,168.55648904442808,1
2023-11-07 16:50:22.145529032,6,21.822411722209722,1
2023-11-07 22:18:52.069899082,11,24.59188954161278,1
2023-11-08 02:49:26.253058910,9,283.90745920558777,1
2023-11-13 08:15:47.720778942,39,78.00648953060306,2
2023-11-14 18:42:20.309108973,10,25.800963386098335,1
2023-11-15 00:53:59.630589008,13,126.68113793611528,1
2023-11-15 21:58:00.518508910,24,306.5452844861484,4
2023-11-24 13:07:52.530599116,11,459.90542224996665,3
2023-11-25 14:43:45.308319092,3,8.570019530521389,1
2023-11-27 15:22:13.934719086,22,26.49387750830917,1
2023-11-28 21:45:58.222249031,9,1188.6260231500203,1
2023-12-01 17:41:23.072349072,10,21.989840405516944,1
2023-12-02 13:27:06.507009029,7,2.859033513863889,1
2023-12-05 15:55:06.823808908,3,0.042510147227222225,1
2023-12-11 16:07:05.976938963,9,20.550377691653058,1
2023-12-13 16:43:30.395509005,10,30.693358677758056,5
2023-12-13 16:50:00.577548981,4,16.739157508346665,1
2023-12-15 21:21:08.195808887,8,33.64298704723527,1
2023-12-16 16:43:52.239738941,15,95.8233448333211,2
2023-12-19 18:29:46.891679049,11,37.08872895830194,1
2023-12-20 20:58:43.607348919,2,18.066280641688333,1
2023-12-23 17:59:58.636799097,24,18.193889272213056,1
